EmpID,Age,AgeGroup,Attrition,Department,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,Custom,Years at company,Experience Slab Group,Salary,Salary Slab,Performance Rating
RM018,22,18-25,No,Research & Development,Medical,Male,1,Laboratory Technician,4,Divorced,1,Yes,13,1,2,2,1,0,18,0-5 Years,0-5 Years,58000,50K - 100K,2
RM041,35,26-35,No,Research & Development,Other,Male,1,Laboratory Technician,4,Divorced,1,No,12,1,3,3,1,0,41,0-5 Years,0-5 Years,58000,50K - 100K,2
RM042,27,26-35,No,Research & Development,Life Sciences,Female,1,Laboratory Technician,1,Divorced,1,No,13,1,6,3,1,0,42,0-5 Years,0-5 Years,58000,50K - 100K,2
RM043,26,26-35,Yes,Research & Development,Life Sciences,Male,1,Laboratory Technician,3,Single,1,No,12,1,2,2,1,0,43,0-5 Years,0-5 Years,58000,50K - 100K,2
RM050,35,26-35,No,Research & Development,Life Sciences,Male,1,Laboratory Technician,4,Married,1,No,19,1,2,3,1,0,50,0-5 Years,0-5 Years,58000,50K - 100K,2
RM070,36,36-45,Yes,Research & Development,Medical,Male,1,Research Scientist,3,Married,0,Yes,17,2,0,2,1,0,70,0-5 Years,0-5 Years,145000,100K - 150K,2
RM075,36,36-45,No,Research & Development,Life Sciences,Female,1,Laboratory Technician,4,Married,3,No,12,5,3,3,1,0,75,0-5 Years,0-5 Years,58000,50K - 100K,3
RM1013,31,26-35,Yes,Sales,Life Sciences,Female,1,Sales Representative,3,Single,1,No,12,1,3,3,1,0,1013,0-5 Years,0-5 Years,80000,50K - 100K,2
RM1017,31,26-35,Yes,Research & Development,Life Sciences,Female,1,Research Scientist,2,Single,1,No,12,1,3,4,1,0,1017,0-5 Years,0-5 Years,145000,100K - 150K,2
RM102,32,26-35,No,Research & Development,Life Sciences,Male,1,Research Scientist,1,Single,1,No,13,1,2,3,1,0,102,0-5 Years,0-5 Years,145000,100K - 150K,2
RM1053,30,26-35,No,Research & Development,Technical Degree,Male,1,Research Scientist,3,Divorced,1,No,13,1,2,2,1,0,1053,0-5 Years,0-5 Years,145000,100K - 150K,2
RM1060,35,26-35,No,Sales,Life Sciences,Male,1,Sales Representative,3,Married,1,No,13,1,3,3,1,0,1060,0-5 Years,0-5 Years,80000,50K - 100K,2
RM1062,24,18-25,No,Sales,Life Sciences,Female,1,Sales Representative,2,Married,1,No,13,1,2,3,1,0,1062,0-5 Years,0-5 Years,80000,50K - 100K,2
RM1070,28,26-35,No,Research & Development,Life Sciences,Male,1,Research Scientist,3,Divorced,1,No,14,1,2,1,1,0,1070,0-5 Years,0-5 Years,145000,100K - 150K,2
RM1089,42,36-45,No,Research & Development,Medical,Male,1,Laboratory Technician,2,Married,4,No,14,4,3,3,1,0,1089,0-5 Years,0-5 Years,58000,50K - 100K,3
RM1105,29,26-35,No,Research & Development,Life Sciences,Male,1,Research Scientist,3,Married,6,No,18,5,2,2,1,0,1105,0-5 Years,0-5 Years,145000,100K - 150K,3
RM1111,35,26-35,Yes,Research & Development,Life Sciences,Female,1,Laboratory Technician,1,Divorced,1,Yes,12,1,2,3,1,0,1111,0-5 Years,0-5 Years,58000,50K - 100K,2
